id,group_id,name,username,password,role,login
1,1,Hermione,hermoine,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
2,1,Ron,ron,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
3,1,Harry,harry,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
4,2,Lee,lee,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
5,2,John,john,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
6,2,Mary,mary,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
7,0,Dumbeldore,dumb,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,master,1
9,1,Hermione,hermoine,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
10,1,Ron,ron,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
11,1,Harry,harry,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
12,2,Lee,lee,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
13,2,John,john,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
14,2,Mary,mary,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,player,0
15,0,Dumbeldore,dumb,ae38d736405cb5a53b8d3b157f04ae49f818edf78e24703300ba9f487ac51d25,master,1
